"Pc_Latitude","Pg_Latitude","Longitude","u","v","correl"
-53.49303,-57.08781,175.96593,-7.85555,-2.20073,0.93068
-53.47001,-57.06585,166.14807,-12.76511,-1.64963,0.7835
-53.47001,-57.06585,168.42339,-13.74704,-1.64963,0.87822
-53.4438,-57.04084,156.09668,-10.80822,0,0.89133
-53.42313,-57.02112,161.32986,-14.42668,-2.2009,0.94604
-53.42313,-57.02112,155.52879,-11.80365,-2.2009,0.9538
-53.42313,-57.02112,164.99722,-9.18061,-2.2009,0.91751
-53.42313,-57.02112,164.99722,-9.18061,-2.2009,0.91751
-53.42313,-57.02112,175.96593,-7.8691,-2.2009,0.926
-53.41759,-57.01584,146.1703,-13.7648,1.64972,0.80976
-53.41759,-57.01584,182.20032,-16.7144,1.64972,0.84084
-53.36518,-56.96582,142.4948,-14.76702,1.64982,0.81459
-53.36518,-56.96582,136.84399,-14.76702,1.64982,0.80992
-53.36518,-56.96582,184.45062,-12.79809,1.64982,0.73756
-53.36518,-56.96582,174.47424,-13.78255,1.64982,0.79091
-53.35324,-56.95443,161.32986,-14.45149,-2.20107,0.94714
-53.35324,-56.95443,155.52879,-11.82395,-2.20107,0.95472
-53.35324,-56.95443,164.99722,-9.1964,-2.20107,0.91882
-53.35324,-56.95443,164.99722,-9.1964,-2.20107,0.91882
-53.35324,-56.95443,175.96593,-7.88263,-2.20107,0.91904
-53.28338,-56.88774,163.46359,-14.47628,-2.20123,0.94655
-53.28338,-56.88774,161.29652,-13.16025,-2.20123,0.94858
-53.28338,-56.88774,155.49545,-10.5282,-2.20123,0.95592
-53.28338,-56.88774,164.99722,-9.21218,-2.20123,0.92042
-53.28338,-56.88774,164.99722,-9.21218,-2.20123,0.92042
-53.28338,-56.88774,175.99927,-9.21218,-2.20123,0.91073
-53.2604,-56.8658,168.37338,-11.84401,-1.65001,0.85827
-53.21354,-56.82104,161.26318,-11.86449,-2.2014,0.95049
-53.21354,-56.82104,155.49545,-10.54621,-2.2014,0.95765
-53.21354,-56.82104,164.99722,-9.22793,-2.2014,0.92232
-53.21354,-56.82104,164.99722,-9.22793,-2.2014,0.92232
-53.21354,-56.82104,175.99927,-9.22793,-2.2014,0.9024
-53.20803,-56.81578,182.17531,-15.81226,1.6501,0.84552
-53.14372,-56.75435,161.26318,-11.88473,-2.20157,0.95252
-53.14372,-56.75435,155.49545,-10.5642,-2.20157,0.95958
-53.14372,-56.75435,176.03259,-10.5642,-2.20157,0.89444
-53.14372,-56.75435,164.99722,-9.24368,-2.20157,0.92363
-53.14372,-56.75435,164.99722,-9.24368,-2.20157,0.92363
-53.12949,-56.74076,136.84399,-14.85244,0,0.84373
-53.10332,-56.71575,142.46979,-13.87111,1.65029,0.8657
-53.10332,-56.71575,184.47562,-13.87111,1.65029,0.73512
-53.10332,-56.71575,174.47424,-13.87111,1.65029,0.79589
-53.07392,-56.68766,163.39693,-11.90495,-2.20174,0.95173
-53.07392,-56.68766,161.26318,-11.90495,-2.20174,0.95408
-53.07392,-56.68766,176.06593,-11.90495,-2.20174,0.88716
-53.07392,-56.68766,155.49545,-10.58217,-2.20174,0.96129
-53.07392,-56.68766,164.99722,-9.2594,-2.20174,0.92348
-53.07392,-56.68766,164.99722,-9.2594,-2.20174,0.92348
-53.05098,-56.66574,168.34837,-10.91262,-1.65039,0.82028
-53.00414,-56.62097,176.09927,-13.25016,-2.20191,0.88031
-53.00414,-56.62097,161.22984,-10.60013,-2.20191,0.9551
-53.00414,-56.62097,164.99722,-9.27511,-2.20191,0.92179
-53.00414,-56.62097,164.99722,-9.27511,-2.20191,0.92179
-52.99866,-56.61573,182.12531,-13.90645,1.65049,0.85861
-52.96926,-56.58762,155.52879,-11.93524,0,0.96279
-52.93439,-56.55428,176.09927,-13.27259,-2.20208,0.87294
-52.93439,-56.55428,161.22984,-10.61807,-2.20208,0.95574
-52.93439,-56.55428,164.99722,-9.29081,-2.20208,0.91881
-52.93439,-56.55428,164.99722,-9.29081,-2.20208,0.91881
-52.89952,-56.52094,155.52879,-11.95541,0,0.96385
-52.89405,-56.5157,136.819,-13.94173,-1.65068,0.83289
-52.8679,-56.49069,142.41978,-11.95761,0,0.85503
-52.86465,-56.48759,176.09927,-13.29499,-2.20225,0.86349
-52.86465,-56.48759,163.36359,-10.63599,-2.20225,0.95402
-52.86465,-56.48759,161.22984,-10.63599,-2.20225,0.95598
-52.86465,-56.48759,155.49545,-10.63599,-2.20225,0.96426
-52.86465,-56.48759,164.99722,-9.30649,-2.20225,0.91467
-52.86465,-56.48759,164.99722,-9.30649,-2.20225,0.91467
-52.84176,-56.46568,168.32338,-9.97096,-1.65077,0.77055
-52.84176,-56.46568,184.47562,-13.95935,1.65077,0.73439
-52.84176,-56.46568,174.44923,-12.96225,1.65077,0.81012
-52.79494,-56.4209,176.09927,-13.31737,-2.20242,0.8513
-52.79494,-56.4209,155.52879,-11.98563,-2.20242,0.96432
-52.79494,-56.4209,161.22984,-10.65389,-2.20242,0.95577
-52.79494,-56.4209,164.99722,-9.32216,-2.20242,0.90923
-52.79494,-56.4209,164.99722,-9.32216,-2.20242,0.90923
-52.78948,-56.41567,182.05029,-10.98189,1.65087,0.86057
-52.72524,-56.3542,176.09927,-13.33972,-2.20259,0.83758
-52.72524,-56.3542,161.22984,-10.67178,-2.20259,0.95528
-52.72524,-56.3542,164.96388,-8.00383,-2.20259,0.90284
-52.72524,-56.3542,164.96388,-8.00383,-2.20259,0.90284
-52.69041,-56.32086,155.52879,-12.0158,0,0.96419
-52.65557,-56.28751,176.09927,-13.36206,-2.20276,0.82513
-52.65557,-56.28751,164.96388,-8.01723,-2.20276,0.89674
-52.65557,-56.28751,164.96388,-8.01723,-2.20276,0.89674
-52.63272,-56.26563,182.00027,-9.01909,-1.65115,0.80183
-52.63272,-56.26563,168.29839,-9.01909,-1.65115,0.73874
