"Lambda(microns)","P(bar)_for_Tau=1","P(bar)_for_Tau=2","P3(bar)_for_tau=5"
1.336,0.453,0.84,1.57
1.3369,0.34,0.702,1.5
1.3378,0.274,0.568,1.27
1.3387,0.304,0.618,1.35
1.3396,0.314,0.665,1.47
1.3405,0.243,0.541,1.42
1.3414,0.197,0.388,0.955
1.3423,0.209,0.404,0.947
1.3432,0.198,0.381,0.825
1.3441,0.205,0.403,0.859
1.345,0.203,0.412,0.906
1.3459,0.162,0.343,0.856
1.3468,0.15,0.326,0.83
1.3477,0.151,0.311,0.735
1.3486,0.188,0.376,0.87
1.3495,0.198,0.406,0.905
1.3504,0.148,0.305,0.721
1.3514,0.167,0.349,0.87
1.3523,0.161,0.334,0.864
1.3532,0.119,0.239,0.571
1.3541,0.12,0.25,0.625
1.355,0.128,0.262,0.627
1.3559,0.102,0.221,0.567
1.3569,0.0628,0.146,0.434
1.3578,0.0727,0.16,0.462
1.3587,0.101,0.207,0.51
1.3596,0.0885,0.19,0.473
1.3605,0.11,0.247,0.692
1.3615,0.126,0.268,0.713
1.3624,0.104,0.226,0.6
1.3633,0.0994,0.226,0.62
1.3643,0.0971,0.206,0.554
1.3652,0.0937,0.199,0.502
1.3661,0.101,0.229,0.588
1.3671,0.115,0.256,0.653
1.368,0.118,0.255,0.641
1.3689,0.158,0.323,0.799
1.3699,0.201,0.392,0.889
1.3708,0.149,0.337,0.83
1.3717,0.111,0.235,0.66
1.3727,0.121,0.26,0.705
1.3736,0.144,0.316,0.81
1.3746,0.137,0.274,0.715
1.3755,0.13,0.265,0.638
1.3765,0.119,0.265,0.668
1.3774,0.103,0.227,0.599
1.3784,0.108,0.221,0.55
1.3793,0.114,0.234,0.572
1.3803,0.103,0.222,0.579
1.3812,0.103,0.214,0.55
1.3822,0.113,0.245,0.621
1.3831,0.11,0.238,0.61
1.3841,0.0959,0.205,0.468
1.385,0.104,0.223,0.549
1.386,0.117,0.237,0.577
1.387,0.0955,0.197,0.485
1.3879,0.096,0.204,0.534
1.3889,0.116,0.236,0.574
1.3899,0.101,0.202,0.485
1.3908,0.0802,0.167,0.401
1.3918,0.091,0.184,0.462
1.3928,0.0946,0.191,0.472
1.3937,0.0916,0.2,0.512
1.3947,0.127,0.265,0.641
1.3957,0.135,0.281,0.687
1.3966,0.103,0.23,0.605
1.3976,0.082,0.174,0.427
1.3986,0.0797,0.169,0.419
1.3996,0.08,0.19,0.53
1.4006,0.0834,0.194,0.541
1.4015,0.0764,0.162,0.426
1.4025,0.0748,0.155,0.374
1.4035,0.104,0.206,0.469
1.4045,0.11,0.223,0.522
1.4055,0.085,0.194,0.519
1.4065,0.0955,0.205,0.512
1.4075,0.103,0.218,0.545
1.4085,0.0739,0.173,0.507
1.4094,0.0736,0.167,0.427
1.4104,0.101,0.204,0.47
1.4114,0.108,0.22,0.524
1.4124,0.116,0.234,0.551
1.4134,0.164,0.336,0.936
1.4144,0.193,0.402,1.01
1.4154,0.168,0.347,0.858
1.4164,0.183,0.374,1.01
1.4174,0.191,0.392,1.02
1.4184,0.19,0.369,0.809
1.4194,0.207,0.394,0.869
1.4205,0.25,0.492,1.2
1.4215,0.241,0.486,1.19
1.4225,0.23,0.447,0.984
1.4235,0.263,0.507,1.11
1.4245,0.215,0.442,1.05
1.4255,0.228,0.45,1.02
1.4265,0.296,0.56,1.15
1.4276,0.305,0.57,1.18
1.4286,0.267,0.526,1.21
1.4296,0.325,0.661,1.38
1.4306,0.366,0.709,1.37
1.4316,0.315,0.63,1.22
1.4327,0.343,0.674,1.27
1.4337,0.37,0.71,1.29
1.4347,0.467,0.841,1.43
1.4358,0.599,0.925,1.53
1.4368,0.594,0.906,1.47
1.4378,0.468,0.809,1.37
1.4388,0.427,0.772,1.33
1.4399,0.554,0.869,1.44
1.4409,0.493,0.827,1.42
1.442,0.442,0.773,1.34
1.443,0.533,0.837,1.41
1.444,0.502,0.812,1.4
1.4451,0.471,0.774,1.35
1.4461,0.441,0.756,1.32
1.4472,0.427,0.751,1.33
1.4482,0.474,0.808,1.43
1.4493,0.531,0.863,1.61
1.4503,0.586,0.919,1.71
1.4514,0.484,0.845,1.58
1.4524,0.459,0.815,1.43
1.4535,0.544,0.873,1.54
1.4545,0.544,0.867,1.51
1.4556,0.589,0.902,1.53
1.4567,0.625,0.925,1.52
1.4577,0.592,0.9,1.44
1.4588,0.636,0.922,1.43
1.4599,0.638,0.92,1.42
1.4609,0.691,0.953,1.48
1.462,0.769,0.998,1.57
1.4631,0.767,1,1.57
1.4641,0.825,1.04,1.63
1.4652,0.827,1.03,1.61
1.4663,0.775,0.984,1.42
1.4674,0.763,0.963,1.37
1.4684,0.757,0.942,1.29
1.4695,0.751,0.925,1.21
1.4706,0.635,0.862,1.18
1.4717,0.572,0.83,1.15
1.4728,0.591,0.836,1.15
1.4738,0.6,0.844,1.15
1.4749,0.677,0.879,1.18
1.476,0.722,0.889,1.17
1.4771,0.684,0.862,1.13
1.4782,0.519,0.768,1.03
1.4793,0.522,0.76,1.02
1.4804,0.637,0.825,1.03
1.4815,0.693,0.849,1.1
1.4826,0.677,0.844,1.09
1.4837,0.653,0.833,1.07
1.4848,0.699,0.85,1.1
1.4859,0.689,0.844,1.09
1.487,0.679,0.839,1.07
1.4881,0.692,0.845,1.06
1.4892,0.677,0.835,1.03
1.4903,0.664,0.827,1.03
1.4914,0.672,0.829,1.03
1.4925,0.677,0.83,1.03
1.4937,0.671,0.826,1.03
1.4948,0.651,0.816,1.02
1.4959,0.645,0.813,1.02
1.497,0.643,0.813,1.02
1.4981,0.653,0.818,1.02
1.4993,0.669,0.826,1.03
1.5004,0.674,0.83,1.03
1.5015,0.684,0.836,1.03
1.5026,0.696,0.843,1.04
1.5038,0.708,0.851,1.07
1.5049,0.721,0.86,1.1
1.506,0.705,0.849,1.06
1.5072,0.708,0.846,1.03
1.5083,0.704,0.84,1.03
1.5094,0.696,0.834,1.02
1.5106,0.693,0.831,1.02
1.5117,0.685,0.827,1.02
1.5129,0.681,0.825,1.02
1.514,0.685,0.827,1.02
1.5152,0.689,0.829,1.02
1.5163,0.703,0.837,1.03
1.5175,0.715,0.845,1.03
1.5186,0.729,0.855,1.05
1.5198,0.746,0.866,1.1
1.5209,0.757,0.874,1.13
1.5221,0.766,0.89,1.15
1.5232,0.775,0.905,1.17
1.5244,0.785,0.921,1.19
1.5256,0.793,0.933,1.2
1.5267,0.798,0.94,1.21
1.5279,0.802,0.946,1.22
1.5291,0.805,0.951,1.25
1.5302,0.81,0.958,1.28
1.5314,0.816,0.962,1.29
1.5326,0.821,0.965,1.29
1.5337,0.826,0.968,1.3
1.5349,0.831,0.972,1.3
1.5361,0.843,0.982,1.33
1.5373,0.858,0.993,1.36
1.5385,0.877,1.01,1.39
1.5396,0.899,1.02,1.42
1.5408,0.918,1.04,1.47
1.542,0.936,1.08,1.55
1.5432,0.954,1.11,1.62
1.5444,0.977,1.16,1.68
1.5456,1,1.19,1.79
1.5468,1.02,1.21,1.87
1.548,1.04,1.26,1.93
1.5492,1.08,1.33,1.99
1.5504,1.13,1.38,2.13
1.5516,1.15,1.43,2.24
1.5528,1.19,1.51,2.39
1.554,1.25,1.6,2.62
1.5552,1.32,1.69,2.78
1.5564,1.32,1.72,2.82
1.5576,1.33,1.75,2.93
1.5588,1.34,1.77,3.07
1.5601,1.34,1.8,3.19
1.5613,1.36,1.85,3.31
1.5625,1.38,1.9,3.41
1.5637,1.41,1.96,3.54
1.5649,1.47,2.07,3.9
1.5662,1.53,2.18,4.1
1.5674,1.59,2.28,4.28
1.5686,1.65,2.44,4.68
1.5699,1.74,2.61,5.07
1.5711,1.69,2.56,5.08
1.5723,1.62,2.46,5
1.5736,1.56,2.36,4.94
1.5748,1.5,2.27,4.85
1.576,1.46,2.2,4.63
1.5773,1.42,2.13,4.38
1.5785,1.4,2.06,4.24
1.5798,1.37,2,4.14
1.581,1.41,2.07,4.25
1.5823,1.46,2.19,4.54
1.5835,1.54,2.32,4.87
1.5848,1.63,2.52,5.17
1.586,1.71,2.65,5.32
1.5873,1.81,2.77,5.57
1.5886,1.93,2.96,5.91
1.5898,2.09,3.19,6.17
1.5911,2.19,3.33,6.33
1.5924,2.28,3.46,6.5
1.5936,2.39,3.64,6.79
1.5949,2.51,3.8,7.04
1.5962,2.59,3.94,7.29
1.5974,2.62,3.98,7.33
1.5987,2.7,4.1,7.56
1.6,2.72,4.13,7.68
1.6013,2.57,3.9,7.14
1.6026,2.5,3.81,6.77
1.6038,2.17,3.32,6.2
1.6051,2.05,3.11,5.57
1.6064,2.05,3.11,5.7
1.6077,1.8,2.7,4.95
1.609,1.75,2.61,4.64
1.6103,1.66,2.47,4.4
1.6116,1.47,2.15,3.95
1.6129,1.43,2.07,3.76
1.6142,1.21,1.77,3.28
1.6155,1.12,1.58,2.7
1.6168,1.07,1.53,2.7
1.6181,0.864,1.23,2.25
1.6194,0.834,1.18,2.06
1.6207,0.801,1.17,2.08
1.6221,0.706,1.05,1.84
1.6234,0.562,0.924,1.61
1.6247,0.456,0.817,1.5
1.626,0.512,0.846,1.43
1.6273,0.467,0.763,1.25
1.6287,0.416,0.715,1.21
1.63,0.359,0.665,1.19
1.6313,0.305,0.563,1.05
1.6327,0.224,0.455,0.99
1.634,0.213,0.434,0.922
1.6353,0.235,0.455,0.915
1.6367,0.187,0.386,0.836
1.638,0.231,0.453,0.902
1.6393,0.221,0.425,0.873
1.6407,0.261,0.519,0.983
1.642,0.277,0.544,0.987
1.6434,0.249,0.467,0.865
1.6447,0.211,0.411,0.829
1.6461,0.164,0.325,0.689
1.6474,0.11,0.265,0.644
1.6488,0.0717,0.159,0.389
1.6502,0.0748,0.158,0.394
1.6515,0.143,0.319,0.703
1.6529,0.168,0.33,0.706
1.6543,0.117,0.214,0.469
1.6556,0.112,0.204,0.429
1.657,0.177,0.4,0.869
1.6584,0.195,0.407,0.871
1.6598,0.189,0.391,0.886
1.6611,0.221,0.428,0.893
1.6625,0.175,0.324,0.687
1.6639,0.173,0.309,0.63
1.6653,0.0788,0.2,0.497
1.6667,0.0615,0.182,0.472
1.6681,0.153,0.317,0.737
1.6694,0.156,0.337,0.76
1.6708,0.16,0.321,0.718
1.6722,0.221,0.408,0.81
1.6736,0.206,0.383,0.789
1.675,0.225,0.42,0.87
1.6764,0.245,0.464,0.909
1.6779,0.226,0.437,0.899
1.6793,0.287,0.5,0.961
1.6807,0.227,0.44,0.932
1.6821,0.252,0.486,0.938
1.6835,0.271,0.488,0.931
1.6849,0.203,0.392,0.854
1.6863,0.197,0.384,0.845
1.6878,0.19,0.366,0.791
1.6892,0.222,0.423,0.865
1.6906,0.193,0.396,0.84
1.692,0.133,0.299,0.718
1.6935,0.112,0.242,0.572
1.6949,0.132,0.279,0.683
1.6964,0.139,0.284,0.681
1.6978,0.122,0.248,0.574
1.6992,0.121,0.24,0.558
1.7007,0.105,0.211,0.467
1.7021,0.0744,0.167,0.417
1.7036,0.0595,0.14,0.344
1.705,0.0506,0.119,0.303
1.7065,0.0457,0.0997,0.246
1.7079,0.0522,0.109,0.257
1.7094,0.0596,0.124,0.301
1.7109,0.0797,0.162,0.418
1.7123,0.0834,0.166,0.415
1.7138,0.0957,0.179,0.401
1.7153,0.133,0.259,0.664
1.7167,0.142,0.278,0.683
1.7182,0.128,0.234,0.518
1.7197,0.1,0.19,0.443
1.7212,0.0788,0.146,0.328
1.7227,0.0662,0.129,0.293
1.7241,0.0612,0.119,0.27
1.7256,0.0655,0.126,0.276
1.7271,0.0663,0.135,0.315
1.7286,0.0744,0.167,0.381
1.7301,0.0717,0.172,0.416
1.7316,0.0799,0.188,0.52
1.7331,0.104,0.227,0.55
1.7346,0.102,0.22,0.507
1.7361,0.131,0.291,0.723
1.7376,0.151,0.312,0.728
1.7391,0.14,0.265,0.566
1.7406,0.171,0.361,0.895
1.7422,0.22,0.444,0.962
1.7437,0.185,0.361,0.78
1.7452,0.209,0.426,0.931
1.7467,0.241,0.47,0.971
1.7483,0.182,0.359,0.809
1.7498,0.198,0.39,0.914
1.7513,0.237,0.455,0.982
1.7528,0.208,0.404,0.871
1.7544,0.156,0.314,0.738
1.7559,0.167,0.353,0.83
1.7575,0.203,0.411,0.942
1.759,0.177,0.347,0.854
1.7606,0.194,0.374,0.835
1.7621,0.191,0.376,0.838
1.7637,0.155,0.307,0.689
1.7652,0.146,0.297,0.694
1.7668,0.144,0.295,0.698
1.7683,0.147,0.295,0.686
1.7699,0.121,0.251,0.622
1.7715,0.106,0.218,0.524
1.773,0.102,0.209,0.477
1.7746,0.0696,0.158,0.396
1.7762,0.0788,0.163,0.411
1.7778,0.114,0.226,0.544
1.7794,0.139,0.287,0.683
1.7809,0.17,0.339,0.808
1.7825,0.141,0.294,0.768
1.7841,0.0965,0.208,0.524
1.7857,0.104,0.228,0.539
1.7873,0.132,0.268,0.597
1.7889,0.112,0.242,0.56
1.7905,0.0683,0.16,0.444
1.7921,0.0699,0.166,0.445
1.7937,0.111,0.239,0.551
1.7953,0.153,0.303,0.67
1.7969,0.18,0.343,0.735
1.7986,0.174,0.343,0.837
1.8002,0.257,0.512,1.13
1.8018,0.299,0.559,1.17
1.8034,0.288,0.53,1.13
1.8051,0.299,0.547,1.15
1.8067,0.293,0.583,1.32
1.8083,0.381,0.697,1.43
1.81,0.276,0.569,1.31
1.8116,0.281,0.614,1.49
1.8132,0.367,0.712,1.58
1.8149,0.328,0.633,1.39
1.8165,0.395,0.704,1.41
1.8182,0.4,0.708,1.41
1.8198,0.447,0.801,1.65
1.8215,0.425,0.763,1.61
1.8232,0.49,0.888,1.9
1.8248,0.613,1.03,1.97
1.8265,0.517,0.93,1.94
1.8282,0.58,1.07,2.22
1.8298,0.662,1.15,2.21
1.8315,0.615,1.05,1.99
1.8332,0.51,0.894,1.81
1.8349,0.463,0.815,1.63
1.8365,0.43,0.789,1.63
1.8382,0.378,0.724,1.62
1.8399,0.377,0.726,1.66
1.8416,0.408,0.803,1.74
1.8433,0.462,0.897,1.88
1.845,0.524,0.97,1.95
1.8467,0.452,0.858,1.84
1.8484,0.404,0.759,1.66
1.8501,0.481,0.913,1.96
1.8519,0.518,0.99,2.1
1.8536,0.651,1.17,2.27
1.8553,0.688,1.2,2.26
1.857,0.636,1.14,2.19
1.8587,0.628,1.13,2.14
1.8605,0.571,1.01,1.94
1.8622,0.645,1.12,2.2
1.8639,0.728,1.21,2.21
1.8657,0.807,1.27,2.21
1.8674,0.933,1.36,2.38
1.8692,0.971,1.41,2.43
1.8709,0.996,1.45,2.44
1.8727,1.03,1.5,2.45
1.8744,1.02,1.49,2.49
1.8762,1.06,1.55,2.58
1.8779,1.14,1.6,2.63
1.8797,1.14,1.59,2.61
1.8815,1.11,1.54,2.54
1.8832,1.12,1.55,2.53
1.885,1.15,1.58,2.52
1.8868,1.11,1.52,2.42
1.8886,1.11,1.51,2.36
1.8904,1.1,1.49,2.3
1.8921,1.07,1.44,2.26
1.8939,1.07,1.43,2.25
1.8957,1.03,1.39,2.19
1.8975,1.01,1.35,2.14
1.8993,1.03,1.38,2.16
1.9011,1.02,1.41,2.25
1.9029,0.975,1.35,2.18
1.9048,0.972,1.27,1.96
1.9066,0.945,1.25,1.96
1.9084,0.909,1.2,1.92
1.9102,0.879,1.14,1.82
1.912,0.825,1.06,1.63
1.9139,0.839,1.07,1.63
1.9157,0.819,1.03,1.55
1.9175,0.802,0.997,1.48
1.9194,0.767,0.96,1.32
1.9212,0.723,0.951,1.35
1.9231,0.727,0.944,1.33
1.9249,0.631,0.868,1.19
1.9268,0.604,0.822,1.12
1.9286,0.694,0.87,1.16
1.9305,0.686,0.865,1.16
1.9324,0.625,0.817,1.05
1.9342,0.633,0.825,1.05
1.9361,0.652,0.828,1.03
1.938,0.621,0.802,1.02
1.9399,0.6,0.792,1.02
1.9417,0.559,0.742,1.02
1.9436,0.535,0.684,0.905
1.9455,0.524,0.676,0.897
1.9474,0.483,0.638,0.887
1.9493,0.494,0.632,0.894
1.9512,0.506,0.629,0.864
1.9531,0.509,0.658,0.886
1.955,0.486,0.648,0.913
1.9569,0.502,0.674,0.956
1.9589,0.509,0.689,0.963
1.9608,0.503,0.678,0.952
1.9627,0.505,0.672,0.925
1.9646,0.469,0.631,0.898
1.9666,0.504,0.678,0.956
1.9685,0.499,0.676,0.959
1.9704,0.516,0.691,0.957
1.9724,0.528,0.693,0.943
1.9743,0.505,0.65,0.885
1.9763,0.514,0.668,0.913
1.9782,0.537,0.703,0.958
1.9802,0.504,0.652,0.908
1.9822,0.477,0.617,0.862
1.9841,0.507,0.648,0.867
1.9861,0.529,0.705,0.989
1.9881,0.523,0.716,0.998
1.99,0.503,0.679,0.968
1.992,0.505,0.66,0.923
1.994,0.501,0.663,0.956
1.996,0.511,0.686,0.975
1.998,0.506,0.675,0.969
2,0.519,0.683,0.962
2.002,0.521,0.687,0.963
2.004,0.515,0.679,0.956
2.006,0.517,0.689,0.961
2.008,0.515,0.691,0.973
2.0101,0.514,0.699,0.993
2.0121,0.511,0.684,0.981
2.0141,0.498,0.653,0.94
2.0161,0.498,0.65,0.945
2.0182,0.484,0.622,0.893
2.0202,0.486,0.63,0.875
2.0222,0.492,0.65,0.935
2.0243,0.495,0.662,0.955
2.0263,0.494,0.674,0.999
2.0284,0.493,0.685,1.01
2.0305,0.483,0.669,0.997
2.0325,0.474,0.651,0.982
2.0346,0.469,0.652,0.993
2.0367,0.458,0.636,0.989
2.0387,0.448,0.619,0.965
2.0408,0.445,0.619,0.969
2.0429,0.437,0.61,0.961
2.045,0.427,0.597,0.939
2.0471,0.42,0.588,0.926
2.0492,0.413,0.58,0.909
2.0513,0.404,0.566,0.872
2.0534,0.397,0.557,0.871
2.0555,0.388,0.543,0.859
2.0576,0.38,0.53,0.847
2.0597,0.371,0.52,0.84
2.0619,0.363,0.509,0.828
2.064,0.354,0.497,0.808
2.0661,0.345,0.485,0.786
2.0683,0.336,0.472,0.76
2.0704,0.328,0.458,0.737
2.0725,0.319,0.446,0.725
2.0747,0.31,0.436,0.711
2.0768,0.301,0.426,0.695
2.079,0.293,0.416,0.675
2.0812,0.285,0.405,0.65
2.0833,0.277,0.394,0.626
2.0855,0.269,0.382,0.616
2.0877,0.262,0.374,0.605
2.0899,0.256,0.366,0.592
2.0921,0.249,0.358,0.578
2.0942,0.244,0.351,0.563
2.0964,0.239,0.344,0.547
2.0986,0.234,0.338,0.532
2.1008,0.23,0.332,0.527
2.103,0.228,0.329,0.524
2.1053,0.225,0.324,0.52
2.1075,0.225,0.323,0.519
2.1097,0.224,0.322,0.517
2.1119,0.224,0.323,0.518
2.1142,0.225,0.324,0.52
2.1164,0.228,0.328,0.523
2.1186,0.23,0.332,0.527
2.1209,0.233,0.337,0.531
2.1231,0.237,0.343,0.545
2.1254,0.242,0.35,0.562
2.1277,0.248,0.357,0.577
2.1299,0.254,0.365,0.591
2.1322,0.26,0.373,0.603
2.1345,0.267,0.381,0.614
2.1368,0.266,0.383,0.619
2.139,0.273,0.394,0.628
2.1413,0.27,0.395,0.641
2.1436,0.271,0.397,0.651
2.1459,0.285,0.412,0.677
2.1482,0.263,0.393,0.656
2.1505,0.25,0.38,0.643
2.1529,0.265,0.399,0.676
2.1552,0.235,0.372,0.646
2.1575,0.243,0.379,0.653
2.1598,0.223,0.366,0.648
2.1622,0.19,0.325,0.606
2.1645,0.198,0.33,0.605
2.1668,0.146,0.264,0.502
2.1692,0.13,0.25,0.49
2.1716,0.118,0.223,0.45
2.1739,0.119,0.216,0.44
2.1763,0.134,0.234,0.449
2.1786,0.137,0.236,0.462
2.181,0.173,0.285,0.524
2.1834,0.176,0.288,0.523
2.1858,0.195,0.312,0.552
2.1882,0.196,0.309,0.534
2.1906,0.191,0.301,0.523
2.193,0.194,0.302,0.521
2.1954,0.165,0.262,0.467
2.1978,0.115,0.213,0.421
2.2002,0.0346,0.0893,0.286
2.2026,0.0284,0.0661,0.214
2.2051,0.0751,0.177,0.395
2.2075,0.162,0.261,0.455
2.2099,0.163,0.256,0.447
2.2124,0.155,0.246,0.435
2.2148,0.135,0.228,0.427
2.2173,0.12,0.2,0.376
2.2198,0.114,0.197,0.375
2.2222,0.106,0.185,0.36
2.2247,0.109,0.186,0.359
2.2272,0.103,0.181,0.356
2.2297,0.0979,0.177,0.358
2.2321,0.0853,0.166,0.353
2.2346,0.0814,0.166,0.359
2.2371,0.0752,0.154,0.349
2.2396,0.0785,0.165,0.359
2.2422,0.0783,0.169,0.364
2.2447,0.0703,0.162,0.37
2.2472,0.063,0.149,0.356
2.2497,0.0674,0.145,0.315
2.2523,0.0625,0.135,0.314
2.2548,0.06,0.129,0.288
2.2573,0.079,0.16,0.327
2.2599,0.0574,0.135,0.318
2.2624,0.0395,0.0903,0.222
2.265,0.0635,0.136,0.297
2.2676,0.0532,0.117,0.289
2.2701,0.0426,0.0859,0.2
2.2727,0.054,0.106,0.229
2.2753,0.0411,0.0877,0.211
2.2779,0.0454,0.0975,0.231
2.2805,0.0501,0.101,0.23
2.2831,0.0322,0.0652,0.144
2.2857,0.0408,0.0803,0.182
2.2883,0.0413,0.085,0.186
2.291,0.0299,0.0657,0.147
2.2936,0.0226,0.0538,0.132
2.2962,0.0238,0.0577,0.162
2.2989,0.0229,0.0551,0.162
2.3015,0.0176,0.039,0.0935
2.3041,0.0214,0.0425,0.0921
2.3068,0.0253,0.0447,0.0919
2.3095,0.0475,0.102,0.251
2.3121,0.101,0.168,0.313
2.3148,0.0733,0.15,0.304
2.3175,0.0158,0.0472,0.176
2.3202,0.0217,0.0513,0.127
2.3229,0.0425,0.087,0.19
2.3256,0.0517,0.0948,0.194
2.3283,0.0466,0.0874,0.187
2.331,0.0381,0.08,0.186
2.3337,0.0327,0.0677,0.154
2.3364,0.036,0.0753,0.179
2.3392,0.0292,0.0696,0.181
2.3419,0.0315,0.0813,0.21
2.3447,0.0356,0.0822,0.206
2.3474,0.0246,0.0547,0.124
2.3502,0.0297,0.0651,0.147
2.3529,0.0307,0.0641,0.146
2.3557,0.0267,0.0564,0.123
2.3585,0.0391,0.0781,0.162
2.3613,0.0589,0.104,0.203
2.3641,0.0556,0.0999,0.203
2.3669,0.0445,0.0813,0.164
2.3697,0.0188,0.0531,0.131
2.3725,0.0185,0.0505,0.139
2.3753,0.0416,0.0859,0.193
2.3781,0.0509,0.108,0.227
2.381,0.0511,0.104,0.221
2.3838,0.0492,0.0995,0.209
2.3866,0.056,0.108,0.218
2.3895,0.0491,0.0946,0.195
2.3923,0.0478,0.0945,0.209
2.3952,0.0639,0.125,0.268
2.3981,0.0734,0.14,0.279
2.401,0.08,0.146,0.287
2.4038,0.0816,0.149,0.3
2.4067,0.0833,0.149,0.299
2.4096,0.0925,0.164,0.32
2.4125,0.107,0.182,0.347
2.4155,0.114,0.189,0.354
2.4184,0.0945,0.17,0.333
2.4213,0.0745,0.142,0.296
2.4242,0.059,0.125,0.292
2.4272,0.0684,0.149,0.329
2.4301,0.104,0.189,0.372
2.4331,0.11,0.202,0.394
2.4361,0.105,0.197,0.399
2.439,0.104,0.191,0.382
2.442,0.104,0.188,0.37
2.445,0.112,0.208,0.42
2.448,0.129,0.248,0.493
2.451,0.168,0.308,0.59
2.454,0.176,0.313,0.602
2.457,0.2,0.35,0.642
2.46,0.244,0.4,0.705
2.4631,0.23,0.387,0.708
2.4661,0.273,0.45,0.811
2.4691,0.284,0.476,0.845
2.4722,0.277,0.463,0.832
2.4752,0.318,0.507,0.864
2.4783,0.32,0.515,0.886
2.4814,0.325,0.531,0.937
2.4845,0.327,0.536,0.932
2.4876,0.313,0.519,0.923
2.4907,0.339,0.549,0.963
2.4938,0.428,0.657,1.09
2.4969,0.422,0.679,1.15
2.5,0.343,0.585,1.05
2.5031,0.415,0.669,1.16
2.5063,0.449,0.721,1.21
2.5094,0.361,0.617,1.15
2.5126,0.351,0.6,1.12
2.5157,0.364,0.625,1.15
2.5189,0.328,0.58,1.13
2.5221,0.338,0.595,1.14
2.5253,0.292,0.539,1.09
2.5284,0.332,0.598,1.19
2.5316,0.415,0.699,1.28
2.5349,0.329,0.589,1.17
2.5381,0.368,0.676,1.34
2.5413,0.482,0.801,1.41
2.5445,0.397,0.704,1.36
2.5478,0.3,0.569,1.19
2.551,0.233,0.473,1.02
2.5543,0.239,0.453,0.949
2.5575,0.235,0.445,0.866
2.5608,0.179,0.346,0.742
2.5641,0.124,0.262,0.607
2.5674,0.0942,0.213,0.539
2.5707,0.0857,0.183,0.478
2.574,0.0957,0.18,0.424
2.5773,0.154,0.293,0.704
2.5806,0.21,0.377,0.793
2.584,0.16,0.325,0.726
2.5873,0.0694,0.152,0.513
2.5907,0.0793,0.192,0.549
2.594,0.137,0.281,0.631
2.5974,0.172,0.366,0.843
2.6008,0.174,0.344,0.829
2.6042,0.174,0.319,0.691
2.6076,0.22,0.409,0.847
2.611,0.243,0.434,0.853
2.6144,0.303,0.537,1.06
2.6178,0.457,0.77,1.43
2.6212,0.493,0.82,1.52
2.6247,0.518,0.861,1.61
2.6281,0.677,1.04,1.78
2.6316,0.749,1.14,1.94
2.635,0.825,1.22,2.09
2.6385,0.912,1.31,2.16
2.642,1.01,1.42,2.27
2.6455,1.13,1.57,2.49
2.649,1.25,1.7,2.69
2.6525,1.24,1.71,2.64
2.656,1.27,1.76,2.69
2.6596,1.42,1.9,2.74
2.6631,1.44,1.88,2.69
2.6667,1.55,1.95,2.71
2.6702,1.51,1.94,2.73
2.6738,1.53,1.98,2.76
2.6774,1.69,2.1,2.79
2.681,1.7,2.15,2.83
2.6846,1.65,2.16,2.95
2.6882,1.55,2.09,2.95
2.6918,1.58,2.07,2.84
2.6954,1.68,2.13,2.85
2.6991,1.77,2.23,3.18
2.7027,1.72,2.25,3.26
2.7064,1.74,2.23,3.24
2.71,1.65,2.09,2.83
2.7137,1.66,2.15,3.06
2.7174,1.73,2.18,3.06
2.7211,1.68,2.09,2.79
2.7248,1.7,2.13,2.87
2.7285,1.68,2.2,3.24
2.7322,1.59,2.12,3.13
2.736,1.62,2.09,2.86
2.7397,1.64,2.07,2.81
2.7435,1.87,2.35,3.33
2.7473,1.78,2.4,3.37
2.751,1.69,2.25,3.26
2.7548,1.61,2.15,3.02
2.7586,1.42,1.99,2.84
2.7624,1.33,1.82,2.76
2.7663,1.35,1.84,2.74
2.7701,1.4,1.94,2.79
2.7739,1.33,1.88,2.8
2.7778,1.43,1.92,2.79
2.7816,1.22,1.69,2.69
2.7855,1.11,1.46,2.27
2.7894,1.11,1.43,2.24
2.7933,0.964,1.19,1.76
2.7972,0.952,1.15,1.65
2.8011,0.908,1.07,1.56
2.805,0.827,0.977,1.24
2.809,0.807,0.957,1.2
2.8129,0.768,0.935,1.19
2.8169,0.704,0.858,1.14
2.8209,0.681,0.836,1.02
2.8249,0.705,0.846,1.02
2.8289,0.624,0.791,1.01
2.8329,0.582,0.726,0.941
2.8369,0.643,0.809,1.01
2.8409,0.603,0.786,1.01
2.845,0.552,0.68,0.87
2.849,0.557,0.681,0.865
2.8531,0.568,0.723,0.952
2.8571,0.6,0.758,0.969
2.8612,0.564,0.69,0.872
2.8653,0.553,0.688,0.896
2.8694,0.575,0.722,0.926
2.8736,0.58,0.719,0.917
2.8777,0.572,0.724,0.933
2.8818,0.578,0.735,0.952
2.886,0.598,0.769,0.99
2.8902,0.576,0.731,0.972
2.8944,0.492,0.609,0.848
2.8986,0.47,0.592,0.849
2.9028,0.534,0.644,0.863
2.907,0.545,0.66,0.867
2.9112,0.501,0.601,0.826
2.9155,0.519,0.625,0.871
2.9197,0.56,0.686,0.874
2.924,0.56,0.679,0.871
2.9283,0.534,0.647,0.863
2.9326,0.544,0.667,0.868
2.9369,0.571,0.699,0.873
