"Lambda(microns)","P(bar)_for_Tau=1","P(bar)_for_Tau=2","P3(bar)_for_tau=5"
0.6026,6.93,13.7,35.3
0.6028,6.94,13.7,35.2
0.603,6.94,13.6,35
0.6031,6.96,13.7,35.2
0.6033,6.98,13.7,35.4
0.6035,7,13.8,35.6
0.6037,7.03,13.9,35.8
0.6039,7.04,13.9,35.8
0.604,7.06,14,36
0.6042,7.07,14,36.1
0.6044,7.08,14,36.1
0.6046,7.08,14,36.1
0.6048,7.1,14.1,36.2
0.605,7.11,14.1,36.4
0.6051,7.11,14.1,36.6
0.6053,7.12,14.1,36.7
0.6055,7.13,14.2,36.7
0.6057,7.13,14.1,36.6
0.6059,7.14,14.2,36.7
0.6061,7.15,14.2,36.9
0.6062,7.15,14.2,37
0.6064,7.16,14.3,37.1
0.6066,7.16,14.3,37.2
0.6068,7.17,14.3,37.4
0.607,7.17,14.3,37.4
0.6072,7.18,14.3,37.4
0.6073,7.18,14.4,37.5
0.6075,7.19,14.4,37.6
0.6077,7.18,14.4,37.6
0.6079,7.18,14.4,37.6
0.6081,7.17,14.4,37.7
0.6083,7.16,14.4,37.7
0.6085,7.16,14.4,37.7
0.6086,7.15,14.4,37.7
0.6088,7.15,14.3,37.6
0.609,7.15,14.3,37.6
0.6092,7.15,14.3,37.6
0.6094,7.15,14.3,37.6
0.6096,7.15,14.3,37.5
0.6098,7.15,14.3,37.5
0.6099,7.14,14.3,37.4
0.6101,7.13,14.3,37.3
0.6103,7.12,14.2,37.3
0.6105,7.1,14.2,37.3
0.6107,7.08,14.2,37.3
0.6109,7.05,14.1,37.1
0.6111,7.02,14.1,37.1
0.6112,7,14,36.9
0.6114,6.96,14,36.8
0.6116,6.91,13.9,36.8
0.6118,6.86,13.8,36.7
0.612,6.81,13.7,36.5
0.6122,6.75,13.6,36.3
0.6124,6.69,13.5,36.2
0.6126,6.63,13.4,36
0.6127,6.57,13.3,35.8
0.6129,6.49,13.2,35.6
0.6131,6.38,13,35.4
0.6133,6.26,12.8,35.2
0.6135,6.19,12.7,34.9
0.6137,6.13,12.6,34.6
0.6139,6.06,12.4,34.2
0.6141,5.98,12.3,33.7
0.6143,5.89,12.1,33.4
0.6144,5.8,11.9,33
0.6146,5.75,11.8,32.5
0.6148,5.68,11.6,32
0.615,5.63,11.5,31.6
0.6152,5.6,11.4,31
0.6154,5.57,11.3,30.5
0.6156,5.53,11.2,30
0.6158,5.47,11.1,29.5
0.616,5.38,10.9,29
0.6161,5.32,10.7,28.4
0.6163,5.3,10.6,27.4
0.6165,5.24,10.5,26.7
0.6167,5.2,10.3,25.7
0.6169,5.17,10.2,24.9
0.6171,5.09,10.1,24.6
0.6173,5,9.93,24.5
0.6175,4.9,9.81,24.4
0.6177,4.84,9.71,24.4
0.6179,4.77,9.61,24.3
0.618,4.7,9.51,24.3
0.6182,4.62,9.41,24.2
0.6184,4.59,9.35,24.2
0.6186,4.56,9.29,24.1
0.6188,4.57,9.27,24
0.619,4.53,9.23,24
0.6192,4.51,9.22,24.1
0.6194,4.51,9.23,24.1
0.6196,4.57,9.3,24.1
0.6198,4.59,9.32,24.1
0.62,4.58,9.35,24.2
0.6202,4.67,9.49,24.3
0.6203,4.74,9.6,24.4
0.6205,4.8,9.71,24.6
0.6207,4.89,9.85,25.1
0.6209,4.93,9.94,25.9
0.6211,4.98,10.1,26.9
0.6213,5.04,10.2,27.7
0.6215,5.09,10.4,28.5
0.6217,5.2,10.6,29.1
0.6219,5.33,10.9,29.6
0.6221,5.42,11.1,30.3
0.6223,5.52,11.3,31
0.6225,5.63,11.5,31.6
0.6227,5.73,11.7,32.3
0.6229,5.83,11.9,32.8
0.6231,5.94,12.1,33
0.6232,6.03,12.3,33.4
0.6234,6.12,12.4,33.8
0.6236,6.23,12.6,34
0.6238,6.33,12.8,34.3
0.624,6.44,12.9,34.2
0.6242,6.53,13,34.3
0.6244,6.62,13.1,34.4
0.6246,6.7,13.2,34.5
0.6248,6.76,13.3,34.7
0.625,6.83,13.5,35
0.6252,6.94,13.6,35.3
0.6254,7.04,13.8,35.6
0.6256,7.14,14,35.8
0.6258,7.22,14.1,36.2
0.626,7.31,14.2,36.3
0.6262,7.37,14.3,36.3
0.6264,7.44,14.4,36.7
0.6266,7.52,14.6,37.1
0.6268,7.56,14.7,37.2
0.627,7.6,14.7,37.2
0.6272,7.7,14.9,37.5
0.6274,7.69,14.9,37.7
0.6275,7.72,15,38
0.6277,7.8,15.2,38.1
0.6279,7.66,14.8,37.8
0.6281,7.73,15,38
0.6283,7.85,15.3,38.3
0.6285,7.9,15.4,38.4
0.6287,7.91,15.6,38.6
0.6289,7.91,15.6,38.8
0.6291,8.1,16.1,39.2
0.6293,8.08,16.1,39.3
0.6295,8.09,16.2,39.4
0.6297,8.17,16.5,39.8
0.6299,8.23,16.6,39.9
0.6301,8.39,17.1,40.3
0.6303,8.51,17.4,40.6
0.6305,8.54,17.5,40.7
0.6307,8.57,17.6,40.8
0.6309,8.57,17.6,40.8
0.6311,8.55,17.5,40.8
