"Lat(Pc)","Lat(Pg)","U(m/s)","Sigma_U","Sigma_Lt","Npt"
-37.5,-41.26,11.74,2.25,0.03,17
-37.4,-41.16,11.21,2.53,0.03,18
-37.3,-41.06,10.47,2.97,0.02,19
-37.2,-40.96,9.28,3.02,0.02,19
-37.1,-40.85,8.43,3.11,0.02,20
-37,-40.75,7.37,3.13,0.03,19
-36.9,-40.65,6.73,3.18,0.03,22
-36.8,-40.55,6.03,3.28,0.03,19
-36.7,-40.45,5.57,3.41,0.03,21
-36.6,-40.34,4.37,3.43,0.03,20
-36.5,-40.24,2.65,3.3,0.03,18
-36.4,-40.13,0.81,3.36,0.03,13
-36.3,-40.03,-0.24,3.57,0.03,17
-36.2,-39.92,-1.18,3.54,0.03,16
-36.1,-39.82,-1.62,3.55,0.03,19
-36,-39.72,-2.42,3.62,0.03,18
-35.9,-39.61,-3.46,3.85,0.03,21
-35.8,-39.51,-4.78,3.95,0.03,20
-35.7,-39.41,-6.06,4.04,0.03,19
-35.6,-39.31,-6.48,4.09,0.03,21
-35.5,-39.21,-6.81,4.62,0.03,15
-35.4,-39.1,-6.72,5.46,0.03,19
-35.3,-39,-6.76,6.87,0.03,20
-35.2,-38.89,-5.51,8.01,0.03,20
-35.1,-38.79,-2.7,7.67,0.03,16
-35,-38.69,1.34,6.54,0.03,15
-34.9,-38.58,4.18,4.93,0.03,16
-34.8,-38.48,5.27,4.25,0.03,16
-34.7,-38.37,5.48,4.13,0.03,21
-34.59,-38.26,6.3,3.61,0.03,20
-34.5,-38.16,7.97,3.31,0.03,17
-34.4,-38.06,10.24,3.2,0.03,14
-34.3,-37.95,12.44,3.91,0.03,15
-34.19,-37.85,14.27,4.61,0.03,15
-34.1,-37.75,15.62,5.12,0.03,19
-34,-37.64,16.98,5.76,0.03,17
-33.9,-37.54,18.34,6.99,0.03,18
-33.8,-37.44,21.02,7.63,0.03,14
-33.7,-37.33,23.14,7.66,0.03,12
-33.6,-37.22,25.62,6.68,0.02,13
-33.5,-37.12,27.18,5.25,0.02,11
-33.4,-37.02,29.68,3.7,0.03,13
-33.3,-36.91,31.96,2.57,0.03,13
-33.2,-36.8,33.84,2.57,0.03,17
-33.1,-36.7,35.09,2.89,0.03,13
-33,-36.6,36.44,2.9,0.03,17
-32.9,-36.49,37.5,2.7,0.03,15
-32.79,-36.38,38.68,2.37,0.03,17
-32.69,-36.28,39.97,2.45,0.03,15
-32.6,-36.18,42.14,2.93,0.03,16
-32.5,-36.07,44.78,3.78,0.03,19
-32.4,-35.97,47.77,4.13,0.03,16
-32.3,-35.86,49.84,3.99,0.03,16
-32.2,-35.76,50.77,3.66,0.03,20
-32.1,-35.65,50.63,3.03,0.03,18
-32,-35.55,49.85,2.63,0.03,15
-31.9,-35.44,48.95,2.48,0.03,19
-31.8,-35.34,46.88,3.71,0.03,17
-31.7,-35.23,43.18,4.87,0.03,13
-31.6,-35.12,39.16,5.21,0.03,18
-31.49,-35.02,34.6,5.93,0.03,18
-31.39,-34.91,31.32,5.86,0.03,19
-31.29,-34.8,26.84,6.02,0.03,17
-31.19,-34.7,23.13,5.13,0.03,20
-31.09,-34.59,20.15,4.34,0.02,21
-30.99,-34.49,17.77,3.93,0.03,18
-30.89,-34.38,15.8,3.21,0.03,15
-30.79,-34.28,12.83,3,0.03,21
-30.69,-34.17,10.21,2.81,0.03,21
-30.59,-34.06,7.63,2.85,0.03,23
-30.49,-33.96,5.67,3.05,0.03,21
-30.39,-33.85,4.26,3.18,0.02,22
-30.29,-33.74,2.96,3.47,0.02,18
-30.19,-33.64,1.37,3.96,0.02,21
-30.09,-33.53,-0.05,4.21,0.02,21
-29.99,-33.43,-1.7,4.42,0.03,24
-29.89,-33.32,-2.94,4.56,0.03,22
-29.79,-33.22,-4.62,4.7,0.03,22
-29.69,-33.11,-6.04,4.91,0.03,20
-29.59,-33,-7.57,5.2,0.03,21
-29.49,-32.9,-8.81,5.81,0.03,21
-29.4,-32.79,-10.32,6.33,0.03,20
-29.3,-32.69,-11.77,6.55,0.03,19
-29.2,-32.58,-13.82,6.59,0.03,18
-29.1,-32.47,-15.51,7.14,0.03,18
-29,-32.37,-16.87,7.71,0.02,17
-28.9,-32.26,-17.36,8,0.03,17
-28.79,-32.15,-17.42,7.38,0.02,17
-28.69,-32.04,-17.46,6.44,0.03,15
-28.59,-31.93,-17.43,5.19,0.03,13
-28.49,-31.83,-17.04,4.18,0.03,15
-28.39,-31.72,-16.77,3.49,0.03,16
-28.29,-31.62,-16.48,3.59,0.03,14
-28.2,-31.51,-16.27,3.77,0.03,14
-28.1,-31.4,-15.43,3.99,0.03,20
-28,-31.3,-13.71,3.72,0.03,18
-27.89,-31.19,-11.96,3.48,0.03,12
-27.79,-31.08,-10.21,3.2,0.03,15
-27.69,-30.97,-8.13,3.46,0.02,19
-27.59,-30.87,-6.26,3.63,0.02,20
-27.5,-30.76,-4.09,3.91,0.02,21
-27.4,-30.65,-2.5,3.64,0.03,20
-27.3,-30.55,-0.85,3.37,0.03,15
-27.2,-30.44,0.66,3.07,0.02,18
-27.1,-30.33,2.15,2.97,0.02,18
-27,-30.23,3.43,3.12,0.03,16
-26.9,-30.12,4.63,3.48,0.03,14
-26.8,-30.01,5.74,3.49,0.03,17
-26.7,-29.9,6.91,3.22,0.03,20
-26.6,-29.79,7.9,2.62,0.03,20
-26.5,-29.69,8.88,2.6,0.03,21
-26.4,-29.58,10.03,2.85,0.03,20
-26.29,-29.47,11.93,3.34,0.03,18
-26.19,-29.36,14.13,4.28,0.03,13
-26.09,-29.25,16.49,5.24,0.03,17
-25.99,-29.14,18.57,6.3,0.03,15
-25.9,-29.04,18.69,6.1,0.03,14
-25.8,-28.93,19.87,6.18,0.03,10
-25.7,-28.82,21.11,5.77,0.02,9
-25.6,-28.71,23.53,6.09,0.03,6
-25.49,-28.6,25.33,5.78,0.03,9
-25.39,-28.49,25.51,6.11,0.03,6
-25.29,-28.38,26.79,5.93,0.03,9
-25.2,-28.28,27.23,5.56,0.03,17
-25.1,-28.17,28.48,4.9,0.03,18
-25,-28.07,28.89,4.25,0.03,22
-24.9,-27.96,29.57,3.88,0.03,21
-24.8,-27.85,30.37,3.42,0.03,20
-24.69,-27.74,30.89,3.05,0.03,20
-24.59,-27.63,31.01,2.69,0.03,21
-24.49,-27.52,31.09,2.19,0.03,16
-24.39,-27.41,31.15,2,0.03,21
-24.29,-27.3,31.26,1.97,0.03,18
-24.19,-27.19,31.12,2.02,0.03,19
-24.09,-27.08,30.92,1.92,0.03,18
-23.99,-26.97,30.96,2.02,0.02,20
-23.89,-26.87,31.21,2.35,0.03,19
-23.79,-26.76,32.04,3.21,0.03,18
-23.69,-26.65,32.97,3.81,0.03,21
-23.59,-26.54,33.9,4.28,0.03,22
-23.5,-26.43,34.56,4.36,0.03,21
-23.4,-26.32,35.51,4.39,0.03,21
-23.29,-26.21,36.31,4.5,0.03,16
-23.19,-26.1,37,4.47,0.03,21
-23.09,-25.99,37.05,4.45,0.03,24
-23,-25.89,37.34,4.06,0.03,22
-22.9,-25.78,37.53,3.76,0.03,21
-22.8,-25.67,37.45,3.36,0.03,22
-22.69,-25.56,36.61,3.13,0.03,22
-22.59,-25.45,34.97,2.82,0.03,21
-22.49,-25.34,33.16,2.55,0.03,20
-22.39,-25.23,31.61,2.31,0.03,24
-22.29,-25.12,30.68,2.4,0.03,27
-22.19,-25.01,29.61,3.15,0.03,25
-22.09,-24.9,27.98,3.77,0.03,25
-22,-24.79,25.9,4.02,0.03,18
-21.9,-24.69,23.65,3.62,0.03,21
-21.8,-24.57,21.58,3.44,0.03,21
-21.69,-24.46,19.46,3.67,0.03,21
-21.59,-24.35,17.52,3.8,0.03,22
-21.49,-24.24,15.78,3.9,0.03,19
-21.39,-24.13,14.08,3.84,0.03,16
-21.29,-24.02,12.77,3.93,0.03,24
-21.2,-23.91,11.46,3.71,0.02,28
-21.1,-23.81,10.27,3.56,0.03,20
-21,-23.7,8.56,3.38,0.02,24
-20.9,-23.59,6.76,3.67,0.03,22
-20.79,-23.47,4.75,3.5,0.03,23
-20.69,-23.36,2.9,3.13,0.03,16
-20.59,-23.25,1.3,2.84,0.02,17
-20.49,-23.14,-0.22,2.84,0.03,19
-20.39,-23.03,-1.07,2.65,0.03,22
-20.29,-22.92,-2.1,2.27,0.03,17
-20.19,-22.8,-3.41,2.04,0.03,17
-20.09,-22.7,-5.92,2.34,0.03,16
-19.99,-22.59,-8.56,2.76,0.03,17
-19.89,-22.48,-11.75,3.6,0.03,19
-19.79,-22.36,-14.98,4.85,0.03,13
-19.69,-22.25,-18.43,5.86,0.03,21
-19.59,-22.14,-20.76,6.23,0.03,18
-19.49,-22.03,-23.22,6.09,0.03,14
-19.39,-21.92,-26.07,6.55,0.03,23
-19.29,-21.82,-28.78,7.24,0.03,24
