     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
       31.51        35.03        32.71         3.43         0.08    86
       31.81        35.34        33.92         3.64         0.08    71
       32.10        35.66        31.90         3.59         0.08    81
       32.40        35.97        28.96         3.83         0.09    78
       32.70        36.29        26.90         3.45         0.08    79
       33.00        36.60        27.47         4.28         0.08    80
       33.30        36.91        25.18         5.03         0.09    73
       33.60        37.23        20.65         5.27         0.09    86
       33.90        37.53        12.20         5.99         0.09    77
       34.19        37.85         3.80         4.97         0.09    74
       34.49        38.16        -2.66         5.09         0.09    63
       34.80        38.47        -7.29         4.06         0.09    60
       35.10        38.79        -9.44         4.43         0.09    64
       35.41        39.11       -11.62         3.96         0.09    48
       35.71        39.42       -11.89         3.20         0.08    67
       36.00        39.73       -12.41         3.02         0.08    60
       36.30        40.03       -11.38         3.10         0.08    66
       36.60        40.34       -10.49         3.91         0.08    40
       36.89        40.64        -8.31         4.21         0.08    52
       37.20        40.95        -5.13         3.58         0.09    46
       37.49        41.26        -2.76         3.22         0.08    57
       37.79        41.57         1.56         3.05         0.09    47
       38.09        41.87         6.24         3.76         0.09    54
       38.40        42.19        11.97         3.53         0.09    53
       38.69        42.49        14.66         3.30         0.08    49
       39.00        42.80        14.75         2.83         0.08    47
       39.30        43.11        12.72         2.94         0.09    65
       39.61        43.42         9.97         2.47         0.09    81
       39.91        43.73         7.15         2.18         0.09    74
       40.21        44.03         4.75         2.00         0.09    86
       40.51        44.33         3.04         2.07         0.09    74
       40.81        44.64         2.09         1.81         0.08    63
       41.11        44.94         2.12         1.23         0.09    64
       41.40        45.24         3.10         1.15         0.09    67
       41.71        45.54         5.34         1.62         0.09    66
       42.01        45.84         7.52         1.92         0.08    73
       42.31        46.14        10.45         1.85         0.08    63
       42.60        46.44        12.26         1.41         0.08    64
       42.90        46.74        13.35         1.25         0.08    68
       43.20        47.04        12.97         1.23         0.08    66
       43.50        47.34        12.44         1.44         0.08    54
       43.80        47.64        12.04         1.82         0.08    60
       44.11        47.94         9.36         1.83         0.08    56
       44.40        48.23         6.35         1.79         0.08    46
       44.70        48.53         2.98         1.35         0.08    37
       44.99        48.82         1.99         1.08         0.08    29
       45.29        49.12         0.73         1.07         0.08    16
       45.61        49.43        -0.69         1.31         0.08     6
       45.91        49.73        -2.26         1.60         0.08    16
       46.21        50.03        -4.40         1.82         0.09    49
       46.50        50.31        -5.12         1.89         0.08    60
       46.80        50.60        -5.27         2.10         0.09    62
       47.10        50.91        -4.39         1.77         0.09    37
       47.40        51.20        -3.71         1.35         0.09    54
       47.70        51.49        -4.12         1.33         0.08    54
       47.99        51.78        -4.87         1.52         0.09    70
       48.30        52.07        -5.29         1.69         0.09    62
       48.60        52.37        -4.99         1.41         0.09    75
       48.90        52.66        -3.85         1.53         0.09    52
       49.20        52.95        -2.73         2.13         0.09    66
       49.50        53.24        -0.88         2.54         0.09    59
       49.80        53.53         0.85         2.73         0.09    66
       50.10        53.82         2.74         2.52         0.09    65
       50.39        54.11         4.60         2.71         0.09    60
       50.70        54.41         6.62         2.47         0.09    64
       51.00        54.70         8.50         2.45         0.08    62
       51.30        54.99        10.79         2.43         0.08    65
       51.59        55.27        13.72         3.04         0.08    53
       51.90        55.56        16.21         3.49         0.09    52
       52.20        55.85        16.53         3.81         0.08    53
       52.50        56.14        15.51         3.21         0.08    58
       52.80        56.42        12.54         3.02         0.08    55
       53.09        56.70        10.26         2.36         0.08    48
       53.39        56.99         6.95         2.30         0.08    29
       53.69        57.28         5.66         1.79         0.08    45
       54.00        57.57         3.60         2.19         0.09    50
       54.30        57.85         2.65         2.26         0.09    36
       54.60        58.14         1.07         2.08         0.09    53
       54.90        58.42         0.53         1.78         0.09    49
       55.20        58.71        -0.52         1.83         0.09    54
       55.49        58.99        -1.93         2.15         0.09    48
       55.80        59.28        -3.85         2.15         0.08    50
       56.11        59.57        -4.64         2.08         0.08    45
       56.41        59.85        -4.91         1.93         0.08    50
       56.71        60.14        -4.44         1.94         0.09    45
       57.01        60.42        -4.56         2.29         0.09    21
       57.30        60.69        -4.57         2.29         0.08    21
       57.59        60.96        -4.08         2.54         0.09    21
       57.91        61.26        -2.95         2.11         0.08    24
       58.21        61.55        -2.58         2.29         0.07     9
       58.51        61.82        -2.92         2.15         0.07    10
       58.80        62.10        -2.22         2.98         0.07    10
       59.09        62.37         0.71         3.37         0.09    17
       59.40        62.66         3.90         3.84         0.10    12
       59.70        62.93         5.22         3.97         0.09    12
       59.99        63.20         4.90         4.66         0.07     8
       60.27        63.46         5.49         4.65         0.06    10
       60.57        63.74         7.79         4.63         0.08    11
       60.89        64.04        11.12         4.88         0.08     9
       61.22        64.34        13.13         5.18         0.08     6
       61.52        64.62        13.63         5.47         0.06     6
       61.79        64.87        13.67         4.80         0.06     9
       62.09        65.14        14.27         4.51         0.08     7
       62.39        65.43        14.24         3.69         0.09     9
       62.73        65.73        13.00         2.90         0.07     7
       63.03        66.01        13.14         2.32         0.04     3
       63.18        66.15        13.17         2.01         0.02     3
       63.30        66.26        15.66         2.12         0.02     0
       64.32        67.20        14.46         1.24          NaN     0
       64.43        67.30        15.06         2.03         0.03     3
       64.56        67.41        16.33         2.54         0.05     4
       64.82        67.65        17.34         2.69         0.05     5
       65.08        67.89        17.56         2.08         0.06     5
       65.36        68.15        17.24         2.53         0.06     3
       65.65        68.41        19.15         3.72         0.08     4
       65.99        68.71        18.07         3.39         0.07     6
       66.30        69.00        16.91         1.96         0.06     1
       66.47        69.15        13.76         0.31         0.04     2
       66.91        69.55         9.54         0.61         0.03     0
       67.23        69.85         4.62          NaN         0.00     1
