"Lat(Pc)","Lat(Pg)","U(m/s)","Sigma_U","Sigma_Lt","Npt"
51.9,55.55,18.76,3.47,0.08,92
52.2,55.84,20.83,2.97,0.09,83
52.5,56.13,20.56,3.34,0.09,77
52.8,56.41,19.09,3.45,0.09,93
53.1,56.7,15.13,3.73,0.09,64
53.4,56.99,10.38,3.86,0.09,59
53.71,57.28,5.22,4.45,0.09,68
54,57.56,1.89,4.16,0.09,60
54.31,57.85,0.39,3.63,0.08,71
54.6,58.13,0.47,3.12,0.08,73
54.9,58.41,0.16,2.93,0.08,59
55.18,58.68,-1.17,3.42,0.08,52
55.49,58.97,-2.62,3.72,0.08,67
55.78,59.25,-3.52,4.02,0.08,59
56.1,59.55,-4.91,3.63,0.09,60
56.4,59.83,-5.96,3.08,0.09,69
56.7,60.11,-6.22,2.7,0.09,88
57,60.39,-5.06,3.2,0.09,91
57.3,60.68,-4.24,3.58,0.09,76
57.6,60.96,-4.23,4.55,0.09,91
57.9,61.24,-4.86,4.38,0.09,66
58.2,61.52,-5.47,4.47,0.09,86
58.51,61.81,-4.5,3.93,0.09,96
58.8,62.08,-2.34,3.81,0.09,83
59.1,62.36,0.8,3.95,0.09,96
59.4,62.64,3.47,3.77,0.09,89
59.7,62.91,5.92,3.9,0.09,92
60,63.2,7.83,3.58,0.09,90
60.29,63.47,9.26,3.81,0.09,102
60.59,63.75,11.61,3.98,0.09,82
60.89,64.02,13.82,4.75,0.08,66
61.2,64.31,15.44,4.92,0.08,57
61.5,64.58,14.98,4.97,0.08,69
61.8,64.86,13.6,4.55,0.08,60
62.1,65.14,12.69,4.16,0.08,60
62.4,65.41,11.51,4.03,0.08,47
62.7,65.69,10.31,4.13,0.08,31
63,65.97,9.53,4.31,0.08,42
63.3,66.24,10.05,5.18,0.08,36
63.6,66.52,12.13,5.38,0.08,43
63.9,66.8,15.18,5.66,0.08,37
64.2,67.07,18.57,5.58,0.09,45
64.5,67.34,22.79,5.47,0.09,52
64.8,67.62,24.85,5.27,0.09,36
65.1,67.89,27.26,4.56,0.09,38
65.41,68.17,26,6.1,0.09,24
65.7,68.44,23.98,8.02,0.09,16
66.01,68.72,18.69,8.69,0.08,17
66.29,68.97,15.53,7.68,0.08,24
66.6,69.25,12.66,5.94,0.08,31
66.9,69.52,11.65,5.24,0.09,34
67.2,69.8,9.25,4.54,0.09,16
67.51,70.07,9.15,4.25,0.09,22
67.81,70.34,5.63,3.76,0.08,10
68.1,70.61,4.73,4.97,0.07,7
68.39,70.87,1.43,4.41,0.07,7
68.67,71.13,1.78,4.37,0.07,25
69,71.43,0.26,1.65,0.05,10
69.28,71.68,0.62,3.21,0.05,1
69.59,71.96,1.11,3.61,0.06,3
69.85,72.19,1.51,4.96,0.07,7
70.18,72.48,1.24,4.16,0.07,5
70.46,72.74,-0.48,3.53,0.08,3
70.78,73.03,-1.37,2.49,0.1,5
71.1,73.31,-1.45,1.35,0.09,3
71.42,73.6,-1.2,2.35,0.07,6
71.72,73.87,-1.64,3.45,0.07,9
71.99,74.11,-1.92,5.07,0.08,7
72.29,74.38,0.81,4.33,0.08,7
72.58,74.64,3.87,4.76,0.09,4
72.87,74.9,4.38,4.09,0.08,6
73.16,75.16,3.48,3.45,0.07,1
73.43,75.39,2.9,1.38,0.03,2
73.74,75.67,4.27,3.27,0.06,1
74.06,75.96,5.24,4.77,0.08,6
74.24,76.12,5.9,4.77,0.11,3
74.7,76.53,8.11,3.06,0.12,0
75.18,76.96,8.01,1.56,0.13,2
75.34,77.1,6.76,1.41,0.08,2
75.65,77.37,5.05,3.6,0.04,3
75.79,77.49,4.45,4.72,0.04,3
76.21,77.87,0.08,4.17,0.05,0
76.51,78.13,-4.49,0,"NaN",1
76.87,78.45,0.83,0,"NaN",0
77.23,78.76,6.15,0,"NaN",1
