"Pc_Latitude","Pg_Latitude","Longitude","u","v","correl"
-59.78428,-63.01167,141.4631,4.98351,1.10028,0.51333
-59.78428,-63.01167,126.61172,6.64468,1.10028,0.78365
-59.78428,-63.01167,178.38319,9.96619,-1.10019,0.7541
-59.78428,-63.01167,191.03436,4.98351,1.10028,0.69298
-59.74843,-62.97833,133.72905,-1.66301,-1.10032,0.72153
-59.74843,-62.97833,126.62839,6.09772,1.10032,0.79405
-59.74843,-62.97833,178.41652,8.86867,-1.10023,0.76368
-59.74843,-62.97833,159.76479,3.88004,1.10023,0.78516
-59.73051,-62.96166,131.1788,-2.21858,0,0.69783
-59.71258,-62.94499,138.9462,6.65942,1.10036,0.96108
-59.71258,-62.94499,126.64506,5.54952,1.10036,0.8046
-59.71258,-62.94499,174.83286,6.10396,1.10027,0.81106
-59.71258,-62.94499,159.76479,3.88434,1.10027,0.79237
-59.71258,-62.94499,191.18437,0,-1.10036,0.71223
-59.69466,-62.92832,132.17891,0,0,0.7057
-59.67674,-62.91165,129.79535,-1.6667,-1.1004,0.55701
-59.67674,-62.91165,130.82878,1.6667,-1.1004,0.74506
-59.67674,-62.91165,126.64506,5.55566,1.1004,0.81421
-59.67674,-62.91165,178.48318,6.66623,1.1003,0.78117
-59.67674,-62.91165,159.76479,3.88864,1.1003,0.79474
-59.67674,-62.91165,177.34975,5.5552,1.1003,0.83078
-59.64091,-62.87831,131.16214,-1.66854,-1.10044,0.72345
-59.64091,-62.87831,131.94556,0,-1.10044,0.7134
-59.64091,-62.87831,126.66173,5.00562,1.10044,0.82129
-59.64091,-62.87831,178.51653,5.56133,1.10034,0.81309
-59.64091,-62.87831,159.76479,3.89293,1.10034,0.79373
-59.60507,-62.84497,132.16225,0.55679,-1.10047,0.71415
-59.60507,-62.84497,128.62857,6.12472,1.10047,0.97391
-59.60507,-62.84497,126.66173,5.01114,1.10047,0.82528
-59.60507,-62.84497,178.5332,5.01072,1.10038,0.84355
-59.60507,-62.84497,174.8662,5.01072,1.10038,0.8688
-59.56925,-62.81163,121.44458,3.34444,-1.10051,0.83115
-59.56925,-62.81163,130.74544,4.45925,-1.10051,0.72693
-59.56925,-62.81163,138.72952,5.01666,-1.10051,0.58589
-59.56925,-62.81163,139.0462,3.34444,1.10051,0.95994
-59.56925,-62.81163,128.61191,6.68887,1.10051,0.97447
-59.56925,-62.81163,126.67839,4.45925,1.10051,0.82577
-59.56925,-62.81163,178.5332,5.01624,1.10042,0.86983
-59.56925,-62.81163,159.56477,10.58983,1.10042,0.79502
-59.56925,-62.81163,177.36642,5.01624,1.10042,0.88136
-59.56925,-62.81163,191.36772,1.67222,1.10051,0.90479
-59.53343,-62.77829,138.87952,3.34811,-1.10055,0.55189
-59.53343,-62.77829,128.62857,6.13821,1.10055,0.97455
-59.53343,-62.77829,126.67839,4.46415,1.10055,0.82333
-59.53343,-62.77829,178.51653,5.57973,1.10046,0.89014
-59.53343,-62.77829,159.73145,5.02175,1.10046,0.79534
-59.49761,-62.74495,132.02888,5.02769,-1.10059,0.67647
-59.49761,-62.74495,129.59534,5.02769,1.10059,0.55701
